# 1: Detection or Track-id,2: Video or Image Identifier,3: Unique Frame Identifier,4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),8: Detection or Length Confidence,9: Target Length (0 or -1 if invalid),10-11+: Repeated Species,Confidence Pairs or Attributes
1,942205001_cam3_frame_144.png,144,967.6288,843.8618,1111.824,1079.1293,0.5060094,-1,LUTJANUSCAMPECHANUS-170151107,0.5060094
1,942205001_cam3_frame_171.png,171,0.0,194.8277,319.11624,1183.0231,0.5562571,-1,BALISTESCAPRISCUS-189030502,0.5562571
1,942205001_cam3_frame_193.png,193,0.26566315,0.0,308.74152,1179.1045,0.5497747,-1,BALISTESCAPRISCUS-189030502,0.5497747
1,942205001_cam3_frame_225.png,225,0.26909637,18.828918,344.32486,1200.0,0.5735676,-1,BALISTESCAPRISCUS-189030502,0.5735676
1,942205001_cam3_frame_443.png,443,0.0,180.55005,346.61505,1200.0,0.52411425,-1,BALISTESCAPRISCUS-189030502,0.52411425
1,942205001_cam3_frame_547.png,547,398.18674,917.4725,686.5973,1138.9373,0.77441615,-1,LUTJANUSCAMPECHANUS-170151107,0.77441615
1,942205001_cam3_frame_548.png,548,415.99594,933.2701,801.98346,1114.2515,0.78752965,-1,LUTJANUSCAMPECHANUS-170151107,0.78752965
1,942205001_cam3_frame_549.png,549,504.46088,893.4437,874.4756,1088.747,0.8395622,-1,LUTJANUSCAMPECHANUS-170151107,0.8395622
1,942205001_cam3_frame_550.png,550,580.82465,885.4968,909.09393,1118.7241,0.8952621,-1,LUTJANUSCAMPECHANUS-170151107,0.8952621
1,942205001_cam3_frame_551.png,551,604.7177,902.4216,933.63025,1128.9912,0.88625485,-1,LUTJANUSCAMPECHANUS-170151107,0.88625485
1,942205001_cam3_frame_552.png,552,724.8734,929.24915,934.55115,1133.8018,0.7853134,-1,LUTJANUSCAMPECHANUS-170151107,0.7853134
1,942205001_cam3_frame_566.png,566,1486.1248,636.43945,1781.3037,829.3962,0.72397417,-1,LUTJANUSCAMPECHANUS-170151107,0.72397417
1,942205001_cam3_frame_567.png,567,1579.1221,625.4374,1784.8213,786.42957,0.50334483,-1,LUTJANUSCAMPECHANUS-170151107,0.50334483
1,942205001_cam3_frame_631.png,631,625.8008,612.9084,902.24255,792.917,0.5464425,-1,LUTJANUSCAMPECHANUS-170151107,0.5464425
1,942205001_cam3_frame_639.png,639,877.309,766.7428,1116.6184,931.6362,0.5435105,-1,LUTJANUSCAMPECHANUS-170151107,0.5435105
1,942205001_cam3_frame_828.png,828,304.41513,191.5738,516.8523,318.88614,0.76396185,-1,LUTJANUSCAMPECHANUS-170151107,0.76396185
1,942205001_cam3_frame_829.png,829,362.82843,154.25981,593.4047,310.11115,0.789865,-1,LUTJANUSCAMPECHANUS-170151107,0.789865
1,942205001_cam3_frame_830.png,830,425.57172,146.10251,673.0939,263.48923,0.7397899,-1,LUTJANUSCAMPECHANUS-170151107,0.7397899
1,942205001_cam3_frame_831.png,831,511.3135,68.22606,687.25195,230.52686,0.77650297,-1,LUTJANUSCAMPECHANUS-170151107,0.77650297
