                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 260.25,                 360.98,                 199.78,                0.52429,                0.25226,                0.25679,                0.15627,                    nan,                    nan,                    nan,              0.0033329,              0.0033329,              0.0033329
                      2,                 239.15,                 175.67,                 189.54,                0.64872,                0.30168,                0.36229,                0.22016,                    nan,                    nan,                    nan,              0.0066442,              0.0066442,              0.0066442
                      3,                 243.87,                 175.32,                 192.77,                0.67349,                0.33539,                0.40833,                0.25032,                    nan,                    nan,                    nan,              0.0099336,              0.0099336,              0.0099336
                      4,                 241.59,                  166.7,                 192.74,                0.73552,                0.36306,                0.45373,                 0.2826,                    nan,                    nan,                    nan,               0.009901,               0.009901,               0.009901
                      5,                 231.98,                  148.2,                 188.52,                0.76888,                0.39386,                0.50124,                0.31304,                    nan,                    nan,                    nan,               0.009868,               0.009868,               0.009868
                      6,                 226.87,                 138.75,                 186.27,                0.75205,                0.43561,                0.53125,                0.33448,                    nan,                    nan,                    nan,               0.009835,               0.009835,               0.009835
                      7,                 222.77,                 132.64,                 185.16,                0.74871,                0.45089,                0.55435,                0.34982,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                      8,                  220.1,                 127.81,                 183.98,                0.74718,                0.46798,                0.57446,                0.36022,                    nan,                    nan,                    nan,               0.009769,               0.009769,               0.009769
                      9,                 218.09,                 124.89,                 182.99,                0.72655,                0.49767,                0.58669,                0.37027,                    nan,                    nan,                    nan,               0.009736,               0.009736,               0.009736
                     10,                 216.54,                  121.9,                 182.08,                 0.7428,                0.50704,                0.60472,                0.38286,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                     11,                 215.29,                 120.64,                 182.09,                0.76737,                0.51007,                0.61893,                0.39153,                    nan,                    nan,                    nan,                0.00967,                0.00967,                0.00967
                     12,                 214.63,                 118.89,                 181.29,                0.75743,                0.54068,                0.63279,                0.40247,                    nan,                    nan,                    nan,               0.009637,               0.009637,               0.009637
                     13,                 213.36,                 117.66,                 180.78,                 0.7784,                0.53693,                0.64032,                0.40739,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                     14,                 212.42,                  116.6,                 180.49,                0.78466,                0.53806,                0.65182,                0.41485,                    nan,                    nan,                    nan,               0.009571,               0.009571,               0.009571
                     15,                 211.83,                 115.41,                  179.7,                0.78632,                0.55795,                0.65917,                0.42071,                    nan,                    nan,                    nan,               0.009538,               0.009538,               0.009538
                     16,                 211.37,                  114.6,                 180.08,                0.83478,                0.54352,                0.66713,                0.42525,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                     17,                 210.92,                 114.26,                 179.61,                0.83753,                0.54467,                0.67206,                0.42981,                    nan,                    nan,                    nan,               0.009472,               0.009472,               0.009472
                     18,                 210.15,                 113.78,                  179.4,                0.78337,                0.59187,                0.67919,                0.43343,                    nan,                    nan,                    nan,               0.009439,               0.009439,               0.009439
                     19,                 209.67,                 112.82,                 178.99,                0.74878,                0.62531,                0.69022,                0.43748,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                     20,                 209.22,                 112.04,                 178.61,                0.76719,                 0.6372,                0.69349,                0.44187,                    nan,                    nan,                    nan,               0.009373,               0.009373,               0.009373
                     21,                 209.03,                 112.01,                  179.3,                0.78561,                0.64089,                0.69871,                 0.4449,                    nan,                    nan,                    nan,                0.00934,                0.00934,                0.00934
                     22,                 208.18,                 111.31,                 178.47,                 0.7797,                 0.6385,                0.70656,                0.45045,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     23,                 208.12,                 110.94,                 178.44,                0.80247,                0.64043,                0.71024,                0.45153,                    nan,                    nan,                    nan,               0.009274,               0.009274,               0.009274
                     24,                 207.71,                 110.61,                 178.31,                 0.8109,                0.64054,                0.71595,                0.45468,                    nan,                    nan,                    nan,               0.009241,               0.009241,               0.009241
                     25,                 207.63,                 110.42,                 177.76,                0.79846,                 0.6484,                0.71952,                0.45628,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     26,                 207.05,                 109.76,                 177.88,                0.79108,                0.65298,                 0.7286,                0.46245,                    nan,                    nan,                    nan,               0.009175,               0.009175,               0.009175
                     27,                 206.82,                 109.36,                 177.81,                0.80932,                0.65039,                0.73236,                0.46532,                    nan,                    nan,                    nan,               0.009142,               0.009142,               0.009142
                     28,                 206.74,                  109.2,                 177.83,                0.80344,                0.65546,                0.73189,                0.46594,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     29,                 206.85,                  109.2,                 177.96,                0.79749,                0.65814,                0.73438,                 0.4665,                    nan,                    nan,                    nan,               0.009076,               0.009076,               0.009076
                     30,                 206.35,                 108.72,                 177.88,                0.81262,                 0.6586,                0.73543,                0.46673,                    nan,                    nan,                    nan,               0.009043,               0.009043,               0.009043
                     31,                 206.27,                 108.72,                 177.88,                0.82953,                0.65385,                0.73835,                0.46873,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     32,                 205.53,                 108.25,                  176.9,                0.80982,                0.66549,                0.73946,                0.46972,                    nan,                    nan,                    nan,               0.008977,               0.008977,               0.008977
                     33,                 205.57,                 108.01,                 178.17,                0.78003,                0.68475,                0.74207,                0.47224,                    nan,                    nan,                    nan,               0.008944,               0.008944,               0.008944
                     34,                 205.43,                 107.77,                 177.82,                0.81845,                0.66988,                0.74306,                0.47206,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     35,                 205.44,                  107.8,                 177.45,                0.75228,                0.70694,                0.74471,                0.47271,                    nan,                    nan,                    nan,               0.008878,               0.008878,               0.008878
                     36,                 205.17,                  107.3,                 177.09,                0.82521,                0.67198,                 0.7428,                0.47437,                    nan,                    nan,                    nan,               0.008845,               0.008845,               0.008845
                     37,                    205,                 107.02,                 177.16,                0.83399,                 0.6638,                0.74155,                0.47548,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     38,                  204.4,                 106.85,                 177.52,                0.82491,                0.66693,                0.74244,                0.47588,                    nan,                    nan,                    nan,               0.008779,               0.008779,               0.008779
                     39,                 204.65,                 106.53,                 176.81,                0.81396,                0.67113,                0.74429,                 0.4758,                    nan,                    nan,                    nan,               0.008746,               0.008746,               0.008746
                     40,                 204.59,                  106.6,                  177.5,                0.80613,                0.67566,                0.74474,                0.47711,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     41,                 204.27,                 106.14,                 177.06,                0.80621,                0.68471,                0.74754,                0.47913,                    nan,                    nan,                    nan,                0.00868,                0.00868,                0.00868
                     42,                 204.03,                 106.11,                 176.27,                0.86777,                0.65451,                0.74889,                0.48097,                    nan,                    nan,                    nan,               0.008647,               0.008647,               0.008647
                     43,                 204.04,                 106.03,                 176.65,                0.86753,                0.65684,                0.74956,                0.48079,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     44,                 203.53,                 105.48,                 176.73,                0.82622,                 0.6824,                 0.7526,                0.48181,                    nan,                    nan,                    nan,               0.008581,               0.008581,               0.008581
                     45,                 203.71,                 105.48,                 176.92,                0.82259,                0.68255,                0.75133,                0.48137,                    nan,                    nan,                    nan,               0.008548,               0.008548,               0.008548
                     46,                 203.59,                 105.41,                 176.43,                0.83866,                 0.6782,                0.75299,                 0.4819,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     47,                 203.28,                 105.24,                 176.52,                0.82536,                0.68095,                0.75172,                0.48229,                    nan,                    nan,                    nan,               0.008482,               0.008482,               0.008482
                     48,                 203.06,                 104.85,                 176.48,                0.84766,                0.66342,                0.75574,                0.48224,                    nan,                    nan,                    nan,               0.008449,               0.008449,               0.008449
                     49,                 202.95,                 104.87,                 176.52,                0.82213,                0.68523,                0.75534,                0.48304,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     50,                 203.33,                 104.96,                 176.33,                0.82234,                0.69036,                 0.7556,                0.48326,                    nan,                    nan,                    nan,               0.008383,               0.008383,               0.008383
                     51,                 202.54,                 104.49,                 175.42,                0.79538,                0.69957,                0.75492,                0.48379,                    nan,                    nan,                    nan,                0.00835,                0.00835,                0.00835
                     52,                 202.62,                 104.26,                 176.05,                0.80117,                0.69618,                0.75458,                 0.4823,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     53,                 202.46,                 103.88,                 176.03,                0.80261,                0.69084,                0.75322,                0.48295,                    nan,                    nan,                    nan,               0.008284,               0.008284,               0.008284
                     54,                 202.59,                 104.11,                  176.7,                0.82054,                0.69219,                0.75465,                0.48297,                    nan,                    nan,                    nan,               0.008251,               0.008251,               0.008251
                     55,                 202.08,                 103.87,                  176.7,                0.82208,                 0.6812,                0.75553,                0.48273,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     56,                 202.12,                 103.81,                 176.67,                0.79028,                0.69671,                0.76117,                0.48645,                    nan,                    nan,                    nan,               0.008185,               0.008185,               0.008185
                     57,                 201.37,                 103.09,                 175.48,                0.80148,                0.70035,                0.76375,                0.48935,                    nan,                    nan,                    nan,               0.008152,               0.008152,               0.008152
                     58,                 201.67,                 103.27,                  176.2,                0.79877,                0.69278,                0.76386,                0.48829,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     59,                 201.74,                 103.13,                 175.65,                0.79233,                0.70072,                0.76439,                0.48955,                    nan,                    nan,                    nan,               0.008086,               0.008086,               0.008086
                     60,                 201.64,                 103.05,                 175.83,                0.76285,                0.71215,                0.76791,                0.49406,                    nan,                    nan,                    nan,               0.008053,               0.008053,               0.008053
                     61,                  201.7,                 103.12,                 176.19,                0.78051,                0.70439,                0.76713,                0.49359,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     62,                 201.35,                 102.47,                 175.53,                0.80046,                0.69711,                 0.7635,                0.49068,                    nan,                    nan,                    nan,               0.007987,               0.007987,               0.007987
                     63,                 200.85,                 102.29,                 176.38,                0.77339,                 0.7034,                0.76357,                0.49174,                    nan,                    nan,                    nan,               0.007954,               0.007954,               0.007954
                     64,                 200.71,                 102.41,                 176.55,                0.81478,                0.68978,                0.76169,                0.49266,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     65,                 200.82,                 102.05,                 176.16,                0.82137,                0.69193,                0.75916,                0.49065,                    nan,                    nan,                    nan,               0.007888,               0.007888,               0.007888
